audit_tolerance,operating_threshold,operational_step_change,audit_boundary_step_change,operating_threshold_step_size,audit_tolerance_step_size,dataset,model,protected_attribute,fairness_metric
0.12,0.3,,0.09999999999999998,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.35,0.010000000000000009,0.17000000000000004,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.4,0.020000000000000018,0.26,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.45,0.04999999999999993,0.19000000000000006,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.5,0.010000000000000009,0.18000000000000005,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.55,0.029999999999999916,0.16999999999999993,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.6,0.06000000000000005,0.12,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.65,0.06999999999999995,0.08999999999999997,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.7,0.0,0.019999999999999907,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.3,,0.07999999999999996,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.35,0.010000000000000009,0.07999999999999996,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.4,0.010000000000000009,0.08999999999999997,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.45,0.04999999999999993,0.08999999999999997,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.5,0.030000000000000027,0.13,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.55,0.010000000000000009,0.1100000000000001,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.6,0.039999999999999925,0.08999999999999997,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.65,0.010000000000000009,0.030000000000000027,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.7,0.0,0.030000000000000027,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.3,,0.020000000000000018,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.35,0.010000000000000009,0.040000000000000036,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.4,0.010000000000000009,0.040000000000000036,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.45,0.020000000000000018,0.06999999999999995,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.5,0.0,0.039999999999999925,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.55,0.010000000000000009,0.039999999999999925,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.6,0.030000000000000027,0.030000000000000027,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.65,0.0,0.020000000000000018,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.7,0.0,0.020000000000000018,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.3,,0.020000000000000018,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.35,0.010000000000000009,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.4,0.0,0.010000000000000009,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.45,0.0,0.030000000000000027,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.5,0.0,0.030000000000000027,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.55,0.010000000000000009,0.030000000000000027,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.3,,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.35,0.0,0.010000000000000009,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.4,0.0,0.010000000000000009,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.45,0.0,0.010000000000000009,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.5,0.0,0.010000000000000009,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.3,,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.35,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.4,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.45,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.5,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
