dataset,model,protected_attribute,fairness_metric,audit_tolerance,p,n_retrainings,mean_violation,sd_violation,mean_min_group_n,mean_min_positive_group_n,mean_min_negative_group_n,verdict_instability,sd_accuracy,sd_auroc,sd_f1,mean_accuracy,mean_auroc,audit_family,effective_support_n,log_effective_support_n,boundary_distance,standardized_boundary_distance,vi_scaled,unstable_region
german,random_forest,age_lt_25,dpr_violation,0.06000000000000005,0.1917808219178082,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.3100018765246763,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.09249868109602191,0.9227670896387592,0.6200037530493526,1
german,random_forest,age_lt_25,dpr_violation,0.06999999999999995,0.2191780821917808,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.3422781009570276,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.08249868109602201,0.8230070629329909,0.6845562019140552,1
german,random_forest,age_lt_25,dpr_violation,0.07999999999999996,0.2602739726027397,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.38506286357665603,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.072498681096022,0.7232470362272214,0.7701257271533121,1
german,random_forest,age_lt_25,dpr_violation,0.08999999999999997,0.2876712328767123,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.4098329893038093,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.062498681096021996,0.6234870095214519,0.8196659786076186,1
german,random_forest,age_lt_25,dpr_violation,0.09999999999999998,0.3150684931506849,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.4316006755488835,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.05249868109602199,0.5237269828156824,0.863201351097767,1
german,random_forest,age_lt_25,dpr_violation,0.10999999999999999,0.3561643835616438,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.45862263088759614,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.04249868109602198,0.4239669561099129,0.9172452617751923,1
german,random_forest,age_lt_25,dpr_violation,0.12,0.3972602739726027,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.47888909739163066,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.03249868109602197,0.3242069294041435,0.9577781947832613,1
german,random_forest,age_lt_25,dpr_violation,0.13,0.4383561643835616,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.49240007506098704,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.02249868109602196,0.22444690269837397,0.9848001501219741,1
german,random_forest,age_lt_25,dpr_violation,0.14,0.4657534246575342,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.4976543441546256,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.012498681096021952,0.1246868759926045,0.9953086883092512,1
german,random_forest,age_lt_25,dpr_violation,0.15000000000000002,0.5342465753424658,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.4976543441546256,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.002498681096021943,0.02492684928683502,0.9953086883092512,1
