audit_tolerance,operating_threshold,operational_sensitivity,governance_boundary_sensitivity,dataset,model,protected_attribute,fairness_metric
0.3,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.3,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.3,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.3,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.3,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.0,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.0,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.0,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.0,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.0,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.0,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.0,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.0,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.0,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.010000000000000009,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.010000000000000009,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.010000000000000009,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.010000000000000009,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.010000000000000009,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.010000000000000009,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.010000000000000009,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.010000000000000009,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.010000000000000009,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.020000000000000018,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.020000000000000018,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.020000000000000018,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.020000000000000018,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.020000000000000018,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.020000000000000018,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.020000000000000018,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.020000000000000018,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.020000000000000018,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.030000000000000027,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.030000000000000027,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
0.030000000000000027,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpr_violation
