dataset,model,seed,protected_attribute,operating_threshold,n_test,accuracy,f1,auroc,n_group0,n_group1,n_min_group,n_positive_group0,n_positive_group1,n_min_positive_group,n_negative_group0,n_negative_group1,n_min_negative_group,selection_rate_group0,selection_rate_group1,tpr_group0,tpr_group1,fpr_group0,fpr_group1,dpd_signed,dpd_violation,dpr_symmetric,dpr_violation,eod_signed,eod_violation,equalized_odds_violation,dpd_defined,dpr_defined,eod_defined,equalized_odds_defined,min_group_ok,min_positive_group_ok,min_negative_group_ok,dpd_analysis_valid,dpr_analysis_valid,eod_analysis_valid,equalized_odds_analysis_valid
acs_income,logistic_regression,17,sex,0.5,3000,0.8066666666666666,0.7644191714053615,0.8815788990421344,1560,1440,1440,733,499,499,827,941,827,0.4782051282051282,0.33611111111111114,0.7967257844474761,0.7154308617234469,0.19588875453446192,0.13496280552603612,-0.1420940170940171,0.1420940170940171,0.7028596961572833,0.2971403038427167,-0.08129492272402916,0.08129492272402916,0.08129492272402916,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,race,0.5,3000,0.8066666666666666,0.7644191714053615,0.8815788990421344,1835,1165,1165,812,420,420,1023,745,745,0.444141689373297,0.3562231759656652,0.7820197044334976,0.7285714285714285,0.17595307917888564,0.14630872483221477,-0.0879185134076318,0.0879185134076318,0.8020485004871113,0.1979514995128887,-0.05344827586206902,0.05344827586206902,0.05344827586206902,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,sex,0.55,3000,0.8013333333333333,0.747457627118644,0.8815788990421344,1560,1440,1440,733,499,499,827,941,827,0.43846153846153846,0.30833333333333335,0.7517053206002728,0.6633266533066132,0.1608222490931076,0.12008501594048884,-0.1301282051282051,0.1301282051282051,0.7032163742690059,0.29678362573099415,-0.08837866729365962,0.08837866729365962,0.08837866729365962,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,race,0.55,3000,0.8013333333333333,0.747457627118644,0.8815788990421344,1835,1165,1165,812,420,420,1023,745,745,0.4130790190735695,0.31759656652360513,0.7413793103448276,0.6666666666666666,0.15249266862170088,0.12080536912751678,-0.09548245254996435,0.09548245254996435,0.7688518463994927,0.23114815360050733,-0.074712643678161,0.074712643678161,0.074712643678161,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,sex,0.6,3000,0.7966666666666666,0.727921498661909,0.8815788990421344,1560,1440,1440,733,499,499,827,941,827,0.4044871794871795,0.26319444444444445,0.7107776261937244,0.591182364729459,0.13301088270858524,0.08926673751328375,-0.14129273504273504,0.14129273504273504,0.6506867406233492,0.3493132593766508,-0.11959526146426547,0.11959526146426547,0.11959526146426547,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,race,0.6,3000,0.7966666666666666,0.727921498661909,0.8815788990421344,1835,1165,1165,812,420,420,1023,745,745,0.37057220708446864,0.2832618025751073,0.6884236453201971,0.611904761904762,0.11827956989247312,0.09798657718120805,-0.08731040450936134,0.08731040450936134,0.7643903054784146,0.23560969452158542,-0.07651888341543511,0.07651888341543511,0.07651888341543511,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,sex,0.65,3000,0.7873333333333333,0.7027027027027027,0.8815788990421344,1560,1440,1440,733,499,499,827,941,827,0.3717948717948718,0.23194444444444445,0.6671214188267395,0.531062124248497,0.11003627569528417,0.07332624867162593,-0.13985042735042735,0.13985042735042735,0.6238505747126437,0.3761494252873563,-0.1360592945782425,0.1360592945782425,0.1360592945782425,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,race,0.65,3000,0.7873333333333333,0.7027027027027027,0.8815788990421344,1835,1165,1165,812,420,420,1023,745,745,0.3346049046321526,0.2575107296137339,0.6305418719211823,0.5761904761904761,0.09970674486803519,0.07785234899328859,-0.0770941750184187,0.0770941750184187,0.7695963987641722,0.23040360123582782,-0.05435139573070613,0.05435139573070613,0.05435139573070613,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,sex,0.7,3000,0.769,0.6584524396254312,0.8815788990421344,1560,1440,1440,733,499,499,827,941,827,0.33397435897435895,0.19166666666666668,0.6057298772169167,0.44889779559118237,0.09310761789600967,0.05526036131774708,-0.14230769230769227,0.14230769230769227,0.5738963531669866,0.4261036468330134,-0.15683208162573437,0.15683208162573437,0.15683208162573437,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,race,0.7,3000,0.769,0.6584524396254312,0.8815788990421344,1835,1165,1165,812,420,420,1023,745,745,0.29209809264305175,0.2240343347639485,0.5603448275862069,0.5071428571428571,0.07917888563049853,0.06442953020134229,-0.06806375787910326,0.06806375787910326,0.7669832169623984,0.23301678303760165,-0.05320197044334973,0.05320197044334973,0.05320197044334973,True,True,True,True,True,True,True,True,True,True,True
acs_income,random_forest,17,sex,0.3,3000,0.7296666666666667,0.7374554872126902,0.8753250426044544,1560,1440,1440,733,499,499,827,941,827,0.6679487179487179,0.5659722222222222,0.9263301500682128,0.9218436873747495,0.43893591293833134,0.37725823591923485,-0.1019764957264957,0.1019764957264957,0.8473288547664748,0.1526711452335252,-0.004486462693463311,0.004486462693463311,0.06167767701909649,True,True,True,True,True,True,True,True,True,True,True
acs_income,random_forest,17,race,0.3,3000,0.7296666666666667,0.7374554872126902,0.8753250426044544,1835,1165,1165,812,420,420,1023,745,745,0.6555858310626703,0.5613733905579399,0.9384236453201971,0.8976190476190476,0.4310850439882698,0.3718120805369127,-0.09421244050473043,0.09421244050473043,0.8562927445335159,0.1437072554664841,-0.040804597701149414,0.040804597701149414,0.059272963451357075,True,True,True,True,True,True,True,True,True,True,True
acs_income,random_forest,17,sex,0.35,3000,0.7643333333333333,0.754257907542579,0.8753250426044544,1560,1440,1440,733,499,499,827,941,827,0.607051282051282,0.4847222222222222,0.8922237380627558,0.8637274549098196,0.3542926239419589,0.28374070138150903,-0.12232905982905978,0.12232905982905978,0.7984864484336501,0.20151355156634987,-0.028496283152936175,0.028496283152936175,0.07055192256044984,True,True,True,True,True,True,True,True,True,True,True
acs_income,random_forest,17,race,0.35,3000,0.7643333333333333,0.754257907542579,0.8753250426044544,1835,1165,1165,812,420,420,1023,745,745,0.5907356948228882,0.4815450643776824,0.9076354679802956,0.8285714285714286,0.3391984359726295,0.2859060402684564,-0.10919063044520583,0.10919063044520583,0.8151616172814089,0.1848383827185911,-0.07906403940886697,0.07906403940886697,0.07906403940886697,True,True,True,True,True,True,True,True,True,True,True
acs_income,random_forest,17,sex,0.4,3000,0.7783333333333333,0.7521431233693626,0.8753250426044544,1560,1440,1440,733,499,499,827,941,827,0.5474358974358975,0.41458333333333336,0.8485675306957708,0.7755511022044088,0.28053204353083433,0.22316684378320936,-0.13285256410256413,0.13285256410256413,0.7573185011709601,0.2426814988290399,-0.07301642849136203,0.07301642849136203,0.07301642849136203,True,True,True,True,True,True,True,True,True,True,True
acs_income,random_forest,17,race,0.4,3000,0.7783333333333333,0.7521431233693626,0.8753250426044544,1835,1165,1165,812,420,420,1023,745,745,0.5269754768392371,0.41545064377682406,0.8509852216748769,0.7571428571428571,0.2697947214076246,0.22281879194630871,-0.11152483306241301,0.11152483306241301,0.7883680779012121,0.2116319220987879,-0.09384236453201977,0.09384236453201977,0.09384236453201977,True,True,True,True,True,True,True,True,True,True,True
acs_income,random_forest,17,sex,0.45,3000,0.7896666666666666,0.749900911613159,0.8753250426044544,1560,1440,1440,733,499,499,827,941,827,0.5006410256410256,0.3541666666666667,0.8049113233287858,0.7134268537074149,0.2309552599758162,0.1636556854410202,-0.14647435897435895,0.14647435897435895,0.707426376440461,0.292573623559539,-0.09148446962137091,0.09148446962137091,0.09148446962137091,True,True,True,True,True,True,True,True,True,True,True
acs_income,random_forest,17,race,0.45,3000,0.7896666666666666,0.749900911613159,0.8753250426044544,1835,1165,1165,812,420,420,1023,745,745,0.47520435967302455,0.35965665236051503,0.8054187192118226,0.6952380952380952,0.2130987292277615,0.1704697986577181,-0.11554770731250952,0.11554770731250952,0.7568462810568177,0.24315371894318227,-0.11018062397372741,0.11018062397372741,0.11018062397372741,True,True,True,True,True,True,True,True,True,True,True
