dataset,model,protected_attribute,fairness_metric,audit_tolerance,pass_probability,n_retrainings,mean_violation,sd_violation,median_violation,q05,q95,mean_accuracy,sd_accuracy,mean_auroc,sd_auroc,mean_min_group_n,mean_min_positive_group_n,mean_min_negative_group_n,verdict_instability,audit_agreement
german,random_forest,sex,dpr_violation,0.010000000000000009,0.03,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.058199999999999995,0.9418
german,random_forest,sex,dpr_violation,0.020000000000000018,0.08,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.1472,0.8528
german,random_forest,sex,dpr_violation,0.030000000000000027,0.14,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.24080000000000001,0.7592
german,random_forest,sex,dpr_violation,0.040000000000000036,0.18,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.2952,0.7048
german,random_forest,sex,dpr_violation,0.050000000000000044,0.24,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.3648,0.6352
german,random_forest,sex,dpr_violation,0.06000000000000005,0.32,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.4352,0.5648
german,random_forest,sex,dpr_violation,0.06999999999999995,0.37,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.4662,0.5338
german,random_forest,sex,dpr_violation,0.07999999999999996,0.46,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.4968000000000001,0.5031999999999999
german,random_forest,sex,dpr_violation,0.08999999999999997,0.52,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.4992,0.5008
german,random_forest,sex,dpr_violation,0.09999999999999998,0.58,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.4872,0.5127999999999999
german,random_forest,sex,dpr_violation,0.10999999999999999,0.63,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.4662,0.5338
german,random_forest,sex,dpr_violation,0.12,0.67,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.4422,0.5578000000000001
german,random_forest,sex,dpr_violation,0.13,0.73,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.3942,0.6058
german,random_forest,sex,dpr_violation,0.14,0.76,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.3648,0.6352
german,random_forest,sex,dpr_violation,0.15000000000000002,0.82,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.2952000000000001,0.7047999999999999
german,random_forest,sex,dpr_violation,0.16000000000000003,0.86,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.24080000000000001,0.7592
german,random_forest,sex,dpr_violation,0.17000000000000004,0.89,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.19579999999999997,0.8042
german,random_forest,sex,dpr_violation,0.18000000000000005,0.94,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.1128000000000001,0.8871999999999999
german,random_forest,sex,dpr_violation,0.18999999999999995,0.95,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.09500000000000008,0.9049999999999999
german,random_forest,sex,dpr_violation,0.19999999999999996,0.97,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.05820000000000005,0.9418
german,random_forest,sex,dpr_violation,0.20999999999999996,0.98,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.03920000000000003,0.9608
german,random_forest,sex,dpr_violation,0.21999999999999997,0.98,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.03920000000000003,0.9608
german,random_forest,sex,dpr_violation,0.22999999999999998,0.99,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.01980000000000002,0.9802
german,random_forest,sex,dpr_violation,0.24,0.99,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.01980000000000002,0.9802
german,random_forest,sex,dpr_violation,0.25,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.26,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.27,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.28,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.29000000000000004,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.30000000000000004,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.31000000000000005,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.31999999999999995,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.32999999999999996,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.33999999999999997,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.35,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.36,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.37,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.38,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.39,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.4,1.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,eod_violation,0.0,0.0,100,0.050527124241476595,0.03636938775582513,0.0461390346435913,0.003704176933257265,0.11334469309018606,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,eod_violation,0.01,0.13,100,0.050527124241476595,0.03636938775582513,0.0461390346435913,0.003704176933257265,0.11334469309018606,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.2262,0.7738
